barcode,status,matriz_name,matriz_list_price,matriz_standard_price,branch_id,branch_name,branch_list_price_before,branch_standard_price_before,branch_list_price_after,branch_standard_price_after,error
4885087,PLANNED,VITRAL GLASS COQUETAS 87,3.913,2.25,876,VITRAL GLASS COQUETAS 87,3.91,2.25,3.913,2.25,
4885084,PLANNED,VITRAÑL GLASS COQUETAS 85,3.913,2.75,879,VITRAÑL GLASS COQUETAS 85,3.91,2.75,3.913,2.75,
7702433299008,PLANNED,VOGUE ESMALTE PUNTA FINA BLANCO ARMIÑO ,1.30434783,0.8,2525,VOGUE ESMALTE PUNTA FINA BLANCO ARMIÑO ,1.3,0.8,1.30434783,0.8,
7509552840315,PLANNED,VOGUE RESIST CORRECTOR DE LÍQUIDO,3.47826087,2.34,2478,VOGUE RESIST CORRECTOR DE LÍQUIDO,3.48,2.34,3.47826087,2.34,
043917894003,PLANNED,WAHL BLADE ICE 14onz REFRIGERANTE,12.60869565,9.605,447,WAHL BLADE ICE 14onz REFRIGERANTE,12.61,9.61,12.60869565,9.605,
03070,PLANNED,WAHL PEINE GUIAS,0.86956522,0.57,2290,WAHL PEINE GUIAS,2.61,1.5,0.86956522,0.57,
7861168700608,PLANNED,WIPES X 300pc LIMP/UÑAS ,1.30434783,0.83,1598,WIPES X 300pc LIMP/UÑAS ,1.74,1.1,1.30434783,0.83,
8022297189925,PLANNED,YE COLOR CARE SERUM 5ML 2025,6.52173913,4.85,2557,YE COLOR CARE SERUM 5ML 2025,6.52,4.85,6.52173913,4.85,
8022297189437,PLANNED,YE CURLS CONDITIONER 500ml 2025,18.25652,21.88,3100,YE CURLS CONDITIONER 500ml 2025,28.69565217,21.88,18.25652,21.88,
8022297193809,PLANNED,YE CURLS LEAVE-IN CREAM 5ml 2025,6.52173913,4.91,2556,YE CURLS LEAVE-IN CREAM 5ml 2025,6.52,4.91,6.52173913,4.91,
8022297189420,PLANNED,YE CURLS SHAMPOO 500ml 2025,16.52173913,21.88,3099,YE CURLS SHAMPOO 500ml 2025,28.69565217,21.88,16.52173913,21.88,
8022297194080,PLANNED,YE LISS 10-IN-1 SERUM 5ml 2025,6.52173913,4.91,2558,YE LISS 10-IN-1 SERUM 5ml 2025,6.52,4.91,6.52173913,4.91,
8022297183008,PLANNED,YE NUTRITIVE LEAVE-IN TREAT 200ml 2024,19.56521739,14.73,2552,YE NUTRITIVE LEAVE-IN TREAT 200ml 2024,19.57,14.73,19.56521739,14.73,
8022297182995,PLANNED,YE NUTRITIVE MASK 500ml 2024,28.69565217,21.88,2555,YE NUTRITIVE MASK 500ml 2024,28.7,21.88,28.69565217,21.88,
8022297188645,PLANNED,YE SILVER CONDITIONER 500ml 2025,16.521739,12.6121,122,YE SILVER CONDITIONER 500ml 2025,16.52,12.61,16.521739,12.6121,
8022297145051,PLANNED,YE STYLE THERMAL PROTECTOR 250ml,13.0435,18.75,2551,YE STYLE THERMAL PROTECTOR 250ml,12.61,9.38,13.0435,18.75,
8022297189406,PLANNED,YELLOW LISS MASK 500ml 2025,26.087,21.88,119,YELLOW LISS MASK 500ml 2025,28.7,21.88,26.087,21.88,
8022297152219,PLANNED,YELLOW LISS SHAMPOO 500ml 2022,16.521739,12.6121,120,YELLOW LISS SHAMPOO 500ml 2022,16.52,12.61,16.521739,12.6121,
8022297189369,PLANNED,YELLOW LISS SHAMPOO 500ml 2025,18.2609,16.25357143,2546,YELLOW LISS SHAMPOO 500ml 2025,28.7,21.88,18.2609,16.25357143,
7861168701021,PLANNED,caviar silver metal,2.60869565,1.29611111,642,caviar silver metal,2.61,1.3,2.60869565,1.29611111,
BC-019,PLANNED,hudamoji PINK BLUSH STICK,1.52173913,0.91,2425,hudamoji PINK BLUSH STICK,1.52,0.91,1.52173913,0.91,
7707109920248,PLANNED,masglo arriesgada,2.17391304,1.52,2135,masglo arriesgada,1.96,1.7,2.17391304,1.52,
